product_id,name,category,price,stock
1,Cascade Water Bottle,Kitchen,278.80,90
2,Drift Headphones,Accessories,75.60,76
3,TrailRunner Smartwatch,Accessories,822.97,325
4,Summit Water Bottle,Furniture,723.15,259
5,Horizon Laptop,Outdoors,870.45,369
6,Horizon Air Purifier,Electronics,366.33,100
7,Drift Laptop,Outdoors,1053.51,154
8,TrailRunner Headphones,Accessories,757.85,347
9,Cypress Smartwatch,Kitchen,919.76,296
10,Aurora Air Purifier,Furniture,42.98,205
11,Horizon Coffee Grinder,Electronics,304.23,310
12,Summit Headphones,Outdoors,593.47,55
13,TrailRunner Smartwatch,Outdoors,580.83,301
14,TrailRunner Standing Desk,Home,1049.47,236
15,Cypress Coffee Grinder,Outdoors,387.83,363
